Run,Messages,Loss,Corruption,Time_bw_messages,Application_A,Transport_A,Transport_B,Application_B,Total_time,Throughput
1,1000,0.6,0.2,50.0,1000,1635,677,181,52771.835938,0.003430
2,1000,0.6,0.2,50.0,1000,1539,633,167,48893.191406,0.003416
3,1000,0.6,0.2,50.0,1000,1627,650,160,50895.144531,0.003144
4,1000,0.6,0.2,50.0,1000,1559,639,173,48937.234375,0.003535
5,1000,0.6,0.2,50.0,1000,1533,651,191,48781.687500,0.003915
6,1000,0.6,0.2,50.0,1000,1554,622,177,49994.863281,0.003540
7,1000,0.6,0.2,50.0,1000,1550,605,161,49038.753906,0.003283
8,1000,0.6,0.2,50.0,1000,1567,633,166,49560.500000,0.003349
9,1000,0.6,0.2,50.0,1000,1566,621,162,49704.597656,0.003259
10,1000,0.6,0.2,50.0,1000,1599,627,164,50206.757812,0.003266
