Run,Messages,Loss,Corruption,Time_bw_messages,Application_A,Transport_A,Transport_B,Application_B,Total_time,Throughput
1,1000,0.4,0.2,50.0,1000,9100,5410,997,49389.289062,0.020187
2,1000,0.4,0.2,50.0,1000,8165,4889,997,49551.093750,0.020121
3,1000,0.4,0.2,50.0,1000,7133,4206,995,51457.644531,0.019336
4,1000,0.4,0.2,50.0,1000,6882,4097,983,49263.527344,0.019954
5,1000,0.4,0.2,50.0,1000,7649,4616,991,48899.292969,0.020266
6,1000,0.4,0.2,50.0,1000,6084,3671,997,49725.359375,0.020050
7,1000,0.4,0.2,50.0,1000,6926,4223,992,49276.519531,0.020131
8,1000,0.4,0.2,50.0,1000,6199,3798,997,50915.734375,0.019581
9,1000,0.4,0.2,50.0,1000,7264,4325,989,49645.777344,0.019921
10,1000,0.4,0.2,50.0,1000,7489,4530,993,50485.847656,0.019669
