Run,Messages,Loss,Corruption,Time_bw_messages,Application_A,Transport_A,Transport_B,Application_B,Total_time,Throughput
1,1000,0.8,0.2,50.0,1000,3113,645,53,49796.140625,0.001064
2,1000,0.8,0.2,50.0,1000,2546,556,59,50320.433594,0.001172
3,1000,0.8,0.2,50.0,1000,2385,514,58,49103.132812,0.001181
4,1000,0.8,0.2,50.0,1000,2915,625,71,49257.484375,0.001441
5,1000,0.8,0.2,50.0,1000,1980,419,52,49544.863281,0.001050
6,1000,0.8,0.2,50.0,1000,2942,631,68,51853.953125,0.001311
7,1000,0.8,0.2,50.0,1000,2444,478,57,51138.234375,0.001115
8,1000,0.8,0.2,50.0,1000,2262,453,63,51653.433594,0.001220
9,1000,0.8,0.2,50.0,1000,2448,465,52,50483.062500,0.001030
10,1000,0.8,0.2,50.0,1000,2386,500,51,50109.707031,0.001018
