Run,Messages,Loss,Corruption,Time_bw_messages,Application_A,Transport_A,Transport_B,Application_B,Total_time,Throughput
1,1000,0.5,0.2,50.0,1000,1559,769,262,51432.238281,0.005094
2,1000,0.5,0.2,50.0,1000,1581,785,238,51015.964844,0.004665
3,1000,0.5,0.2,50.0,1000,1497,780,247,49438.308594,0.004996
4,1000,0.5,0.2,50.0,1000,1500,748,265,48903.359375,0.005419
5,1000,0.5,0.2,50.0,1000,1506,754,241,49407.750000,0.004878
6,1000,0.5,0.2,50.0,1000,1502,775,256,50057.925781,0.005114
7,1000,0.5,0.2,50.0,1000,1493,729,242,48903.781250,0.004948
8,1000,0.5,0.2,50.0,1000,1494,776,257,49227.234375,0.005221
9,1000,0.5,0.2,50.0,1000,1513,750,242,49322.371094,0.004906
10,1000,0.5,0.2,50.0,1000,1510,756,260,49064.804688,0.005299
