Run,Messages,Loss,Corruption,Time_bw_messages,Application_A,Transport_A,Transport_B,Application_B,Total_time,Throughput
1,1000,0.2,0.2,50.0,1000,3258,2597,998,48852.613281,0.020429
2,1000,0.2,0.2,50.0,1000,3372,2673,993,49090.875000,0.020228
3,1000,0.2,0.2,50.0,1000,3563,2839,997,49095.421875,0.020307
4,1000,0.2,0.2,50.0,1000,3381,2715,998,48174.351562,0.020716
5,1000,0.2,0.2,50.0,1000,3129,2532,997,49917.707031,0.019973
6,1000,0.2,0.2,50.0,1000,3259,2582,998,49915.425781,0.019994
7,1000,0.2,0.2,50.0,1000,3353,2716,995,50234.292969,0.019807
8,1000,0.2,0.2,50.0,1000,3256,2638,996,50081.167969,0.019888
9,1000,0.2,0.2,50.0,1000,3424,2702,998,48312.039062,0.020657
10,1000,0.2,0.2,50.0,1000,3245,2627,997,48204.265625,0.020683
