Run,Messages,Loss,Corruption,Time_bw_messages,Application_A,Transport_A,Transport_B,Application_B,Total_time,Throughput
1,1000,0.5,0.2,50.0,1000,200,105,29,50543.046875,0.000574
2,1000,0.5,0.2,50.0,1000,177,84,24,49141.417969,0.000488
3,1000,0.5,0.2,50.0,1000,295,144,45,50758.750000,0.000887
4,1000,0.5,0.2,50.0,1000,210,99,24,51176.496094,0.000469
5,1000,0.5,0.2,50.0,1000,140,71,14,50069.113281,0.000280
6,1000,0.5,0.2,50.0,1000,197,92,27,50275.285156,0.000537
7,1000,0.5,0.2,50.0,1000,252,124,40,48988.835938,0.000817
8,1000,0.5,0.2,50.0,1000,166,85,21,50389.070312,0.000417
9,1000,0.5,0.2,50.0,1000,120,59,16,48154.042969,0.000332
10,1000,0.5,0.2,50.0,1000,123,62,17,50232.015625,0.000338
